Parent_1,Parent_2,Set,Pair,raw_score_Tanimoto_p,raw_score_Lomap_p,raw_score_ROCS_p
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,CN1C(=O)C(OC2=C(F)C=C(F)C=C2)=CC2=CN=C(NC(CCO)CCO)N=C21,p38,0,0.5740740740740741,0.6703200460356393,0.7625302076339722
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,CN1C(=O)C(OC2=CC=CC(F)=C2)=CC2=C1N=C(NC1CCOCC1)N=C2,p38,1,0.4,0.16529888822158648,0.7975484132766724
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,CS(=O)(=O)CCN1C(=O)C(OC2=C(F)C=C(F)C=C2)=CC2=C1N=C(NC1CCOCC1)N=C2,p38,2,0.4122137404580153,0.13533528323661265,0.716661810874939
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,CN1C(=O)C(SC2=CC=CC=C2F)=CC2=C1N=C(NC1CCOCC1)N=C2,p38,3,0.3125,0.1920499086207541,0.7442919611930847
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,CN1C(=O)C(OC2=C(F)C=C(F)C=C2)=CC2=C1N=C(NC(CO)CO)N=C2,p38,4,0.62,0.8187307530779818,0.7888839244842529
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,O=C1C(OC2=CC=C(F)C=C2F)=CC2=C(N=C(NC3CCOCC3)N=C2)N1C[C@H](O)CO,p38,5,0.4186046511627907,0.14956861922263504,0.6822906732559204
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,N#CCN1C(=O)C(OC2=C(F)C=C(F)C=C2)=CC2=C1N=C(NC1CCOCC1)N=C2,p38,6,0.4274193548387097,0.18268352405273464,0.772019624710083
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,CN1C(=O)C(OC2=C(F)C=C(F)C=C2)=CC2=C1N=C(NCCS(C)(=O)=O)N=C2,p38,10,0.5714285714285714,0.6065306597126334,0.8074673414230347
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,CS(=O)(=O)N1CCC(N2C(=O)C(OC3=C(F)C=C(F)C=C3)=CC3=C2N=C(NC2CCOCC2)N=C3)CC1,p38,11,0.3724137931034483,0.049787068367863944,0.6517695188522339
CC(C)NC1=NC2=C(C=N1)C=C(OC1=C(F)C=C(F)C=C1)C(=O)N2C,CC(C)(O)CN1C(=O)C(OC2=C(F)C=C(F)C=C2)=CC2=C1N=C(NC1CCOCC1)N=C2,p38,12,0.4365079365079365,0.14956861922263504,0.7017794251441956
